:	4	2.000000
フリッツ・プフェファー	3	1.500000
出典	1	0.500000
フリー	1	0.500000
『	4	2.000000
百科	1	0.500000
（	18	9.000000
事典	1	0.500000
）	18	9.000000
』	4	2.000000
ウィキペディア	1	0.500000
Wikipedia	1	0.500000
移動	1	0.500000
ナビゲーション	1	0.500000
,	1	0.500000
Pfeffer	8	4.000000
、	33	16.500000
1889	2	1.000000
年	17	8.500000
4	2	1.000000
月	7	3.500000
検索	1	0.500000
日	5	2.500000
Fritz	1	0.500000
1944	4	2.000000
12	3	1.500000
20	2	1.000000
は	32	16.000000
ドイツ	13	6.500000
の	56	28.000000
医師	3	1.500000
。	42	21.000000
ユダヤ	12	6.000000
系	7	3.500000
人	11	5.500000
アンネ	13	6.500000
日記	6	3.000000
30	1	0.500000
・	10	5.000000
フランク	6	3.000000
が	15	7.500000
?	1	0.500000
て	27	13.500000
い	6	3.000000
た	38	19.000000
隠れ家	10	5.000000
同居	2	1.000000
一	7	3.500000
上	5	2.500000
で	19	9.500000
「	6	3.000000
著者	1	0.500000
暮らし	1	0.500000
」	6	3.000000
アルベルト	1	0.500000
デュッセル	1	0.500000
という	1	0.500000
さ	4	2.000000
れ	6	3.000000
偽名	1	0.500000
表記	1	0.500000
[	3	1.500000
編集	3	1.500000
]	3	1.500000
ある	1	0.500000
や	3	1.500000
略歴	1	0.500000
衣服	1	0.500000
織物	1	0.500000
を	30	15.000000
販売	1	0.500000
し	24	12.000000
店	1	0.500000
経営	1	0.500000
と	26	13.000000
イグナツ・プフェファー	1	0.500000
＝	2	1.000000
プフェファー	17	8.500000
Ignatz	1	0.500000
ジャネット・ヒルシュ	1	0.500000
-	2	1.000000
Jeannette	1	0.500000
Hirsch	1	0.500000
夫妻	1	0.500000
として	2	1.000000
帝国	3	1.500000
五	1	0.500000
子供	1	0.500000
に	39	19.500000
北部	1	0.500000
あっ	2	1.000000
歯科	3	1.500000
ギーセン	1	0.500000
生まれる	1	0.500000
あご	1	0.500000
外科	1	0.500000
学び	1	0.500000
1911	1	0.500000
資格	1	0.500000
得る	1	0.500000
開業	3	1.500000
第	2	1.000000
次	2	1.000000
世界	2	1.000000
大戦	2	1.000000
軍	3	1.500000
ベルリン	1	0.500000
病院	1	0.500000
